"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 18, 2022","1.720","1.795","1.820","1.690","3.70M","-3.91%"
"Feb 17, 2022","1.790","1.918","1.970","1.780","4.73M","-8.21%"
"Feb 16, 2022","1.950","1.950","2.010","1.885","5.04M","-1.02%"
"Feb 15, 2022","1.970","1.830","1.980","1.820","5.04M","10.06%"
"Feb 14, 2022","1.790","1.790","1.850","1.732","4.53M","0.56%"
"Feb 11, 2022","1.780","1.870","1.950","1.740","4.46M","-4.30%"
"Feb 10, 2022","1.860","1.806","2.030","1.780","6.36M","-1.06%"
"Feb 09, 2022","1.880","1.660","1.885","1.660","7.00M","14.63%"
"Feb 08, 2022","1.640","1.690","1.690","1.583","3.13M","-0.61%"
"Feb 07, 2022","1.650","1.690","1.770","1.640","3.40M","-2.37%"
"Feb 04, 2022","1.690","1.650","1.710","1.580","3.45M","4.32%"
"Feb 03, 2022","1.620","1.685","1.730","1.600","3.83M","-6.90%"
"Feb 02, 2022","1.740","1.970","1.970","1.700","6.18M","-6.95%"
"Feb 01, 2022","1.870","1.700","1.910","1.685","6.96M","11.98%"
"Jan 31, 2022","1.670","1.490","1.730","1.470","5.78M","12.08%"
"Jan 28, 2022","1.490","1.455","1.490","1.380","4.58M","2.76%"
"Jan 27, 2022","1.450","1.610","1.630","1.420","7.53M","-8.23%"
"Jan 26, 2022","1.580","1.730","1.750","1.570","7.36M","-5.39%"
"Jan 25, 2022","1.670","1.690","1.740","1.650","4.29M","-7.22%"
"Jan 24, 2022","1.800","1.620","1.815","1.550","9.52M","4.05%"
"Jan 21, 2022","1.730","1.890","1.900","1.720","9.64M","-8.47%"
"Jan 20, 2022","1.890","2.070","2.110","1.890","7.11M","-6.90%"
"Jan 19, 2022","2.030","2.087","2.130","2.015","4.99M","-0.98%"
"Jan 18, 2022","2.050","2.130","2.190","2.040","4.90M","-4.21%"
"Jan 14, 2022","2.140","2.140","2.170","2.040","5.53M","0.47%"
"Jan 13, 2022","2.130","2.280","2.330","2.130","4.21M","-6.58%"
"Jan 12, 2022","2.280","2.340","2.369","2.245","2.76M","-0.87%"
"Jan 11, 2022","2.300","2.260","2.382","2.215","4.38M","0.88%"
"Jan 10, 2022","2.280","2.358","2.360","2.190","6.03M","-6.17%"
"Jan 07, 2022","2.430","2.438","2.540","2.370","4.27M","-0.82%"
"Jan 06, 2022","2.450","2.600","2.639","2.440","5.04M","-4.30%"
"Jan 05, 2022","2.560","2.780","2.870","2.540","5.34M","-7.58%"
"Jan 04, 2022","2.770","2.850","2.870","2.660","5.14M","-2.12%"
"Jan 03, 2022","2.830","2.500","2.950","2.500","9.30M","15.04%"
"Dec 31, 2021","2.460","2.620","2.640","2.440","8.20M","-6.82%"
"Dec 30, 2021","2.640","2.490","2.740","2.430","6.54M","6.88%"
"Dec 29, 2021","2.470","2.560","2.580","2.440","7.27M","-4.26%"
"Dec 28, 2021","2.580","2.690","2.700","2.520","6.11M","-4.44%"
"Dec 27, 2021","2.700","2.800","2.800","2.670","5.02M","-3.91%"
"Dec 23, 2021","2.810","2.680","2.850","2.550","7.11M","4.07%"
"Dec 22, 2021","2.700","2.700","2.720","2.610","5.90M","-0.37%"
"Dec 21, 2021","2.710","2.670","2.800","2.660","7.06M","2.65%"
"Dec 20, 2021","2.640","2.780","2.780","2.550","8.91M","-8.65%"
"Dec 17, 2021","2.890","2.874","2.970","2.730","25.49M","-0.34%"
"Dec 16, 2021","2.900","3.020","3.130","2.855","8.51M","-4.29%"
"Dec 15, 2021","3.030","2.970","3.090","2.760","10.52M","4.12%"
"Dec 14, 2021","2.910","3.030","3.080","2.830","12.25M","-5.83%"
"Dec 13, 2021","3.090","3.080","3.528","3.080","9.14M","-1.28%"
"Dec 10, 2021","3.130","3.250","3.250","3.070","4.16M","-2.19%"
"Dec 09, 2021","3.200","3.380","3.420","3.140","3.94M","-6.16%"
"Dec 08, 2021","3.410","3.380","3.495","3.240","5.22M","2.10%"
"Dec 07, 2021","3.340","3.250","3.435","3.209","4.49M","5.70%"
"Dec 06, 2021","3.160","3.000","3.180","2.820","7.10M","-0.94%"
"Dec 03, 2021","3.190","3.370","3.440","3.080","9.47M","-4.49%"
"Dec 02, 2021","3.340","3.380","3.480","3.270","4.92M","-0.60%"
"Dec 01, 2021","3.360","3.750","3.820","3.300","7.81M","-8.45%"
"Nov 30, 2021","3.670","3.750","3.760","3.465","13.25M","-2.39%"
"Nov 29, 2021","3.760","3.940","4.050","3.730","7.38M","-3.59%"
"Nov 26, 2021","3.900","4.022","4.060","3.800","4.93M","-5.57%"
"Nov 24, 2021","4.130","3.730","4.270","3.716","8.75M","9.84%"
"Nov 23, 2021","3.760","3.880","3.945","3.680","5.81M","-2.84%"
"Nov 22, 2021","3.870","4.235","4.235","3.850","8.16M","-7.86%"
"Nov 19, 2021","4.200","4.230","4.510","4.130","6.93M","-2.55%"
"Nov 18, 2021","4.310","4.429","4.429","4.130","5.07M","-2.05%"
"Nov 17, 2021","4.400","4.480","4.630","4.370","3.68M","-3.93%"
"Nov 16, 2021","4.580","4.420","4.620","4.290","8.39M","-3.98%"
"Nov 15, 2021","4.770","4.838","4.940","4.735","4.78M","-0.83%"
"Nov 12, 2021","4.810","4.750","4.820","4.660","3.36M","1.91%"
"Nov 11, 2021","4.720","4.810","4.930","4.705","3.65M","-1.26%"
"Nov 10, 2021","4.780","5.060","5.070","4.700","6.54M","-7.54%"
"Nov 09, 2021","5.170","5.200","5.420","5.010","5.44M","-1.90%"
"Nov 08, 2021","5.270","5.027","5.310","5.020","8.24M","5.61%"
"Nov 05, 2021","4.990","4.930","4.990","4.790","5.39M","2.25%"
"Nov 04, 2021","4.880","4.900","5.060","4.830","4.10M","-0.81%"
"Nov 03, 2021","4.920","4.916","4.960","4.770","4.84M","-0.40%"
"Nov 02, 2021","4.940","4.940","5.145","4.842","6.92M","-0.20%"
"Nov 01, 2021","4.950","4.829","5.490","4.810","18.85M","5.32%"
"Oct 29, 2021","4.700","4.750","5.020","4.450","17.12M","3.07%"
"Oct 28, 2021","4.560","4.360","4.670","4.280","5.69M","4.83%"
"Oct 27, 2021","4.350","4.440","4.650","4.320","5.05M","-3.33%"
"Oct 26, 2021","4.500","4.590","4.655","4.430","5.55M","-3.85%"
"Oct 25, 2021","4.680","4.460","4.760","4.390","5.65M","-0.85%"
"Oct 22, 2021","4.720","4.490","4.720","4.050","11.82M","-0.42%"
"Oct 21, 2021","4.740","4.835","4.950","4.710","5.25M","-2.67%"
"Oct 20, 2021","4.870","4.832","4.970","4.700","4.51M","0.00%"
"Oct 19, 2021","4.870","4.870","4.980","4.660","7.76M","0.21%"
"Oct 18, 2021","4.860","5.000","5.063","4.830","6.20M","-2.61%"
"Oct 15, 2021","4.990","5.240","5.240","4.970","5.68M","-3.48%"
"Oct 14, 2021","5.170","5.300","5.400","5.130","4.39M","-2.64%"
"Oct 13, 2021","5.310","5.172","5.350","5.050","5.33M","1.92%"
"Oct 12, 2021","5.210","5.350","5.411","5.130","5.60M","-2.80%"
"Oct 11, 2021","5.360","5.430","5.780","5.350","7.39M","1.13%"
"Oct 08, 2021","5.300","5.274","5.540","5.190","5.94M","0.00%"
"Oct 07, 2021","5.300","5.036","5.400","4.940","7.53M","6.21%"
"Oct 06, 2021","4.990","5.090","5.230","4.950","6.81M","-5.31%"
"Oct 05, 2021","5.270","5.140","5.290","5.020","7.60M","3.13%"
"Oct 04, 2021","5.110","5.520","5.579","5.040","8.85M","-8.59%"
"Oct 01, 2021","5.590","5.865","5.880","5.350","11.87M","-3.29%"
"Sep 30, 2021","5.780","5.720","5.810","5.480","11.09M","1.05%"
"Sep 29, 2021","5.720","6.220","6.550","5.680","25.72M","-7.89%"
"Sep 28, 2021","6.210","5.908","6.530","5.730","36.15M","2.14%"
"Sep 27, 2021","6.080","5.240","6.275","5.240","38.58M","17.83%"
"Sep 24, 2021","5.160","5.205","5.290","5.060","7.48M","-2.46%"
"Sep 23, 2021","5.290","5.180","5.430","5.050","11.59M","3.12%"
"Sep 22, 2021","5.130","4.920","5.200","4.840","10.08M","5.34%"
"Sep 21, 2021","4.870","4.982","5.041","4.850","6.96M","-1.42%"
"Sep 20, 2021","4.940","4.930","5.095","4.760","12.16M","-4.63%"
"Sep 17, 2021","5.180","5.040","5.250","4.930","35.69M","1.37%"
"Sep 16, 2021","5.110","4.850","5.250","4.790","12.36M","3.23%"
"Sep 15, 2021","4.950","5.200","5.210","4.850","14.42M","-3.70%"
"Sep 14, 2021","5.140","5.290","5.770","5.110","21.79M","-3.75%"
"Sep 13, 2021","5.340","5.270","5.440","5.060","11.36M","2.10%"
"Sep 10, 2021","5.230","5.410","5.630","5.080","15.52M","-2.06%"
"Sep 09, 2021","5.340","4.980","5.380","4.890","14.43M","4.50%"
"Sep 08, 2021","5.110","5.320","5.430","4.880","17.24M","-6.41%"
"Sep 07, 2021","5.460","5.612","5.710","5.120","26.72M","-0.73%"
"Sep 03, 2021","5.500","5.700","6.420","5.190","85.33M","2.42%"
"Sep 02, 2021","5.370","4.780","5.400","4.770","39.87M","15.98%"
"Sep 01, 2021","4.630","4.610","4.702","4.420","14.57M","-0.43%"
"Aug 31, 2021","4.650","4.360","4.700","4.030","25.15M","5.20%"
"Aug 30, 2021","4.420","4.940","5.790","4.270","82.64M","7.02%"
"Aug 27, 2021","4.130","3.460","4.550","3.445","40.05M","19.36%"
"Aug 26, 2021","3.460","3.650","3.750","3.420","8.82M","-6.99%"
"Aug 25, 2021","3.720","3.570","3.840","3.501","11.96M","4.20%"
"Aug 24, 2021","3.570","3.345","3.640","3.330","14.37M","6.57%"
"Aug 23, 2021","3.350","2.889","3.435","2.880","18.36M","16.32%"
"Aug 20, 2021","2.880","2.940","2.965","2.860","7.19M","-2.37%"
"Aug 19, 2021","2.950","2.952","3.080","2.920","7.58M","-1.99%"
"Aug 18, 2021","3.010","2.935","3.160","2.800","10.76M","3.44%"
"Aug 17, 2021","2.910","2.984","3.085","2.840","12.84M","-4.59%"
"Aug 16, 2021","3.050","3.160","3.195","2.990","9.84M","-4.39%"
"Aug 13, 2021","3.190","3.380","3.510","3.156","12.14M","-5.34%"
"Aug 12, 2021","3.370","3.570","3.584","3.330","12.27M","-7.42%"
"Aug 11, 2021","3.640","3.560","3.650","3.340","9.57M","1.68%"
"Aug 10, 2021","3.580","3.570","3.740","3.460","11.31M","0.85%"
"Aug 09, 2021","3.550","3.350","3.730","3.250","18.04M","7.58%"
"Aug 06, 2021","3.300","3.220","3.310","3.080","10.58M","4.76%"
"Aug 05, 2021","3.150","3.480","3.570","3.110","27.55M","1.61%"
"Aug 04, 2021","3.100","3.230","3.270","3.040","12.10M","-5.20%"
"Aug 03, 2021","3.270","3.400","3.400","3.200","8.43M","-2.68%"
"Aug 02, 2021","3.360","3.501","3.610","3.330","12.10M","-4.00%"
"Jul 30, 2021","3.500","3.470","3.610","3.400","7.12M","-1.13%"
"Jul 29, 2021","3.540","3.570","3.725","3.440","9.97M","-0.56%"
"Jul 28, 2021","3.560","3.290","3.590","3.260","11.60M","8.87%"
"Jul 27, 2021","3.270","3.420","3.490","3.230","8.91M","-4.94%"
"Jul 26, 2021","3.440","3.430","3.740","3.390","14.19M","-1.43%"
"Jul 23, 2021","3.490","3.570","3.610","3.350","13.23M","1.75%"
"Jul 22, 2021","3.430","3.790","3.832","3.400","19.54M","-10.44%"
"Jul 21, 2021","3.830","3.190","4.240","3.180","62.84M","20.06%"
"Jul 20, 2021","3.190","3.440","3.480","3.085","21.91M","-8.86%"
"Jul 19, 2021","3.500","3.430","3.580","3.310","13.25M","-3.58%"
"Jul 16, 2021","3.630","3.790","3.900","3.600","12.75M","-4.22%"
"Jul 15, 2021","3.790","4.200","4.440","3.730","20.74M","-11.24%"
"Jul 14, 2021","4.270","3.950","4.700","3.640","39.85M","7.02%"
"Jul 13, 2021","3.990","4.000","4.200","3.510","49.76M","1.27%"
"Jul 12, 2021","3.940","4.740","4.740","3.890","41.63M","-17.05%"
"Jul 09, 2021","4.750","5.640","5.640","4.720","26.87M","-17.39%"
"Jul 08, 2021","5.750","5.410","6.250","5.350","14.33M","-0.86%"
"Jul 07, 2021","5.800","6.921","7.050","5.790","17.08M","-19.33%"
"Jul 06, 2021","7.190","6.980","7.990","6.580","20.54M","6.68%"
"Jul 02, 2021","6.740","7.270","7.300","6.725","9.43M","-7.54%"
"Jul 01, 2021","7.290","7.340","7.760","7.050","10.42M","-2.67%"
"Jun 30, 2021","7.490","6.800","7.950","6.333","28.11M","6.54%"
"Jun 29, 2021","7.030","8.260","8.479","7.010","21.32M","-11.68%"