Date,Open,High,Low,Close,Volume
6/29/21,8.23,8.49,6.95,7.03,21315200
6/30/21,6.84,7.96,6.31,7.49,28114200
7/1/21,7.34,7.76,7.05,7.29,10563400
7/2/21,7.27,7.3,6.73,6.74,9360600
7/6/21,6.96,8,6.58,7.19,20535700
7/7/21,6.93,7.08,5.79,5.8,17078300
7/8/21,5.42,6.25,5.33,5.75,14333600
7/9/21,5.64,5.64,4.72,4.75,26866900
7/12/21,4.87,4.87,3.88,3.94,41632500
7/13/21,4,4.2,3.51,3.99,49757400
7/14/21,3.95,4.7,3.63,4.27,39848000
7/15/21,4.25,4.44,3.73,3.79,20744700
7/16/21,3.79,3.9,3.6,3.63,12749000
7/19/21,3.43,3.58,3.31,3.5,13245600
7/20/21,3.44,3.48,3.09,3.19,21909500
7/21/21,3.19,4.24,3.18,3.83,62837200
7/22/21,3.79,3.83,3.4,3.43,19535400
7/23/21,3.57,3.61,3.35,3.49,13226400
7/26/21,3.44,3.74,3.39,3.44,14190500
7/27/21,3.45,3.5,3.23,3.27,8910800
7/28/21,3.3,3.6,3.26,3.56,11602100
7/29/21,3.6,3.73,3.44,3.54,9973700
7/30/21,3.48,3.61,3.4,3.5,7076400
8/2/21,3.5,3.61,3.33,3.36,12103500
8/3/21,3.4,3.4,3.2,3.27,8428500
8/4/21,3.25,3.28,3.04,3.1,12097900
8/5/21,3.47,3.58,3.11,3.15,27547500
8/6/21,3.22,3.31,3.08,3.3,10535100
8/9/21,3.35,3.75,3.24,3.55,18036800
8/10/21,3.6,3.75,3.46,3.58,11314100
8/11/21,3.56,3.65,3.34,3.64,9738900
8/12/21,3.57,3.58,3.33,3.37,12516400
8/13/21,3.38,3.51,3.16,3.19,12089400
8/16/21,3.16,3.2,2.99,3.05,10172100
8/17/21,2.98,3.09,2.84,2.91,12993700
8/18/21,2.94,3.16,2.8,3.01,10853000
8/19/21,2.95,3.08,2.92,2.95,7674900
8/20/21,2.94,2.97,2.86,2.88,7129700
8/23/21,2.89,3.44,2.88,3.35,18732700
8/24/21,3.35,3.64,3.33,3.57,14578500
8/25/21,3.57,3.84,3.5,3.72,12036800
8/26/21,3.65,3.75,3.42,3.46,8990800
8/27/21,3.46,4.55,3.45,4.13,39642200
8/30/21,4.94,5.79,4.27,4.42,83350800
8/31/21,4.36,4.7,4.03,4.65,25428200
9/1/21,4.61,4.7,4.42,4.63,14568500
9/2/21,4.78,5.4,4.77,5.37,43223700
9/3/21,5.7,6.42,5.19,5.5,85207900
9/7/21,5.61,5.71,5.12,5.46,27171300
9/8/21,5.32,5.43,4.88,5.11,17644700
9/9/21,4.98,5.38,4.89,5.34,14676500
9/10/21,5.41,5.63,5.08,5.23,15467000
9/13/21,5.27,5.44,5.06,5.34,11491400
9/14/21,5.29,5.77,5.11,5.14,21920600
9/15/21,5.2,5.21,4.85,4.95,14567800
9/16/21,4.85,5.25,4.79,5.11,12460700
9/17/21,5.04,5.25,4.93,5.18,35685200
9/20/21,4.93,5.1,4.76,4.94,12216200
9/21/21,4.98,5.04,4.85,4.87,7170500
9/22/21,4.92,5.2,4.84,5.13,10082500
9/23/21,5.18,5.43,5.05,5.29,11685100
9/24/21,5.21,5.29,5.06,5.16,7483800
9/27/21,5.24,6.28,5.24,6.08,39031400
9/28/21,5.91,6.53,5.73,6.21,36349700
9/29/21,6.22,6.55,5.68,5.72,25865200
9/30/21,5.72,5.81,5.48,5.78,11216600
10/1/21,5.87,5.88,5.35,5.59,11870700
10/4/21,5.52,5.58,5.04,5.11,9046200
10/5/21,5.14,5.29,5.02,5.27,7713300
10/6/21,5.09,5.23,4.95,4.99,6934800
10/7/21,5.04,5.4,4.94,5.3,7567100
10/8/21,5.27,5.54,5.19,5.3,5903800
10/11/21,5.43,5.78,5.35,5.36,7459400
10/12/21,5.35,5.41,5.13,5.21,5603100
10/13/21,5.17,5.35,5.05,5.31,5376000
10/14/21,5.3,5.4,5.13,5.17,4452600
10/15/21,5.24,5.24,4.97,4.99,5648100
10/18/21,5,5.06,4.83,4.86,6325700
10/19/21,4.87,4.98,4.66,4.87,7758200
10/20/21,4.83,4.97,4.7,4.87,4573700
10/21/21,4.84,4.95,4.71,4.74,5528800
10/22/21,4.49,4.72,4.05,4.72,11817200
10/25/21,4.46,4.76,4.39,4.68,5844700
10/26/21,4.59,4.66,4.43,4.5,5606400
10/27/21,4.44,4.65,4.32,4.35,5147500
10/28/21,4.36,4.67,4.28,4.56,12070800
10/29/21,4.75,5.02,4.45,4.7,17120200
11/1/21,4.83,5.49,4.81,4.95,19058100
11/2/21,4.94,5.15,4.84,4.94,7026600
11/3/21,4.92,4.96,4.77,4.92,4963000
11/4/21,4.9,5.06,4.83,4.88,4145200
11/5/21,4.93,4.99,4.79,4.99,5281800
11/8/21,5.03,5.31,5.02,5.27,8383900
11/9/21,5.2,5.42,5.01,5.17,5504000
11/10/21,5.06,5.07,4.7,4.78,6625500
11/11/21,4.81,4.93,4.71,4.72,3795900
11/12/21,4.75,4.82,4.66,4.81,3333200
11/15/21,4.84,4.94,4.74,4.77,4776800
11/16/21,4.42,4.62,4.29,4.58,8659000
11/17/21,4.48,4.63,4.37,4.4,3708900
11/18/21,4.43,4.43,4.13,4.31,5069800
11/19/21,4.23,4.51,4.13,4.2,6930600
11/22/21,4.24,4.24,3.85,3.87,8330500
11/23/21,3.88,3.95,3.68,3.76,5917100
11/24/21,3.73,4.27,3.72,4.13,8750600
11/26/21,4.02,4.06,3.8,3.9,4930800
11/29/21,3.94,4.05,3.73,3.76,7496600
11/30/21,3.75,3.76,3.47,3.67,13416000
12/1/21,3.75,3.82,3.3,3.36,7770600
12/2/21,3.38,3.48,3.27,3.34,4987600
12/3/21,3.37,3.44,3.08,3.19,9328100
12/6/21,3,3.18,2.82,3.16,7159900
12/7/21,3.25,3.44,3.21,3.34,4584100
12/8/21,3.38,3.5,3.24,3.41,5241400
12/9/21,3.38,3.42,3.14,3.2,4018300
12/10/21,3.25,3.25,3.07,3.13,4062600
12/13/21,3.08,3.53,3.08,3.09,9235900
12/14/21,3.03,3.08,2.83,2.91,12315700
12/15/21,2.97,3.09,2.76,3.03,10611900
12/16/21,3.02,3.13,2.86,2.9,8585000
12/17/21,2.87,2.97,2.73,2.89,25466100
12/20/21,2.78,2.78,2.55,2.64,8930100
12/21/21,2.67,2.8,2.66,2.71,7105500
12/22/21,2.7,2.72,2.61,2.7,5998700
12/23/21,2.68,2.85,2.55,2.81,7105200
12/27/21,2.8,2.8,2.67,2.7,5053100
12/28/21,2.69,2.7,2.52,2.58,6127600
12/29/21,2.56,2.58,2.44,2.47,7322700
12/30/21,2.49,2.74,2.43,2.64,6707300
12/31/21,2.62,2.64,2.44,2.46,8272900
1/3/22,2.5,2.95,2.5,2.83,9350600
1/4/22,2.85,2.87,2.66,2.77,5167100
1/5/22,2.78,2.87,2.54,2.56,5412500
1/6/22,2.6,2.64,2.44,2.45,5119900
1/7/22,2.44,2.54,2.37,2.43,4264000
1/10/22,2.36,2.36,2.19,2.28,6110400
1/11/22,2.26,2.38,2.22,2.3,4453800
1/12/22,2.34,2.37,2.25,2.28,2755400
1/13/22,2.28,2.33,2.13,2.13,4300100
1/14/22,2.14,2.17,2.04,2.14,5435700
1/18/22,2.13,2.19,2.04,2.05,4916300
1/19/22,2.09,2.13,2.02,2.03,5068100
1/20/22,2.07,2.11,1.89,1.89,7268500
1/21/22,1.89,1.9,1.72,1.73,9637000
1/24/22,1.62,1.82,1.55,1.8,9542000
1/25/22,1.69,1.74,1.65,1.67,4335200
1/26/22,1.73,1.75,1.57,1.58,7418400
1/27/22,1.61,1.63,1.42,1.45,7575000
1/28/22,1.45,1.49,1.38,1.49,4579300
1/31/22,1.49,1.73,1.47,1.67,5836800
2/1/22,1.7,1.91,1.69,1.87,7015500
2/2/22,1.97,1.97,1.7,1.74,6241100
2/3/22,1.69,1.73,1.6,1.62,3882700
2/4/22,1.65,1.71,1.58,1.69,3441300
2/7/22,1.69,1.77,1.64,1.65,3423400
2/8/22,1.69,1.69,1.58,1.64,3125600
2/9/22,1.66,1.89,1.66,1.88,7017800
2/10/22,1.81,2.03,1.78,1.86,6409500
2/11/22,1.87,1.95,1.74,1.78,4454300
2/14/22,1.79,1.85,1.73,1.79,4576000
2/15/22,1.83,1.98,1.82,1.97,5073300
2/16/22,1.95,2.01,1.89,1.95,5079500
2/17/22,1.92,1.97,1.78,1.79,4778700